frame_id,row,col,value
ground_01,8,13,#262626
ground_01,8,14,#595959
ground_01,8,15,#262626
ground_01,9,2,#262626
ground_01,9,3,#FFFFFF
ground_01,9,4,#FFFFFF
ground_01,9,5,#FFFFFF
ground_01,9,6,#262626
ground_01,9,7,#262626
ground_01,9,8,#262626
ground_01,9,9,#262626
ground_01,9,10,#FFFFFF
ground_01,9,11,#FFFFFF
ground_01,9,12,#FFFFFF
ground_01,9,13,#8C8C8C
ground_01,9,14,#8C8C8C
ground_01,9,15,#262626
ground_01,10,2,#262626
ground_01,10,3,#262626
ground_01,10,4,#8C8C8C
ground_01,10,5,#8C8C8C
ground_01,10,6,#8C8C8C
ground_01,10,7,#8C8C8C
ground_01,10,8,#8C8C8C
ground_01,10,9,#8C8C8C
ground_01,10,10,#8C8C8C
ground_01,10,11,#8C8C8C
ground_01,10,12,#262626
ground_01,10,13,#8C8C8C
ground_01,10,14,#262626
ground_01,10,15,#262626
ground_01,11,2,#262626
ground_01,11,3,#595959
ground_01,11,4,#8C8C8C
ground_01,11,5,#8C8C8C
ground_01,11,6,#FFFFFF
ground_01,11,7,#FFFFFF
ground_01,11,8,#FFFFFF
ground_01,11,9,#FFFFFF
ground_01,11,10,#8C8C8C
ground_01,11,11,#8C8C8C
ground_01,11,12,#595959
ground_01,11,13,#8C8C8C
ground_01,11,14,#262626
ground_01,12,2,#262626
ground_01,12,3,#595959
ground_01,12,4,#8C8C8C
ground_01,12,5,#8C8C8C
ground_01,12,6,#FFFFFF
ground_01,12,7,#FFFFFF
ground_01,12,8,#FFFFFF
ground_01,12,9,#FFFFFF
ground_01,12,10,#8C8C8C
ground_01,12,11,#8C8C8C
ground_01,12,12,#595959
ground_01,12,13,#262626
ground_01,12,14,#262626
ground_01,13,2,#262626
ground_01,13,3,#595959
ground_01,13,4,#8C8C8C
ground_01,13,5,#8C8C8C
ground_01,13,6,#FFFFFF
ground_01,13,7,#FFFFFF
ground_01,13,8,#FFFFFF
ground_01,13,9,#FFFFFF
ground_01,13,10,#8C8C8C
ground_01,13,11,#8C8C8C
ground_01,13,12,#595959
ground_01,13,13,#262626
ground_01,14,2,#262626
ground_01,14,3,#262626
ground_01,14,4,#262626
ground_01,14,5,#595959
ground_01,14,6,#595959
ground_01,14,7,#262626
ground_01,14,8,#262626
ground_01,14,9,#595959
ground_01,14,10,#595959
ground_01,14,11,#262626
ground_01,14,12,#262626
ground_01,14,13,#262626
ground_01,15,4,#262626
ground_01,15,5,#595959
ground_01,15,6,#595959
ground_01,15,7,#262626
ground_01,15,8,#262626
ground_01,15,9,#595959
ground_01,15,10,#595959
ground_01,15,11,#262626
hop_01,0,2,#262626
hop_01,0,3,#262626
hop_01,0,4,#595959
hop_01,0,5,#595959
hop_01,0,6,#595959
hop_01,0,7,#262626
hop_01,0,8,#262626
hop_01,0,9,#595959
hop_01,0,10,#595959
hop_01,0,11,#595959
hop_01,0,12,#262626
hop_01,0,13,#262626
hop_01,1,2,#262626
hop_01,1,3,#595959
hop_01,1,4,#8C8C8C
hop_01,1,5,#8C8C8C
hop_01,1,6,#595959
hop_01,1,7,#262626
hop_01,1,8,#262626
hop_01,1,9,#595959
hop_01,1,10,#8C8C8C
hop_01,1,11,#8C8C8C
hop_01,1,12,#595959
hop_01,1,13,#262626
hop_01,2,2,#262626
hop_01,2,3,#595959
hop_01,2,4,#8C8C8C
hop_01,2,5,#8C8C8C
hop_01,2,6,#595959
hop_01,2,7,#262626
hop_01,2,8,#262626
hop_01,2,9,#595959
hop_01,2,10,#8C8C8C
hop_01,2,11,#8C8C8C
hop_01,2,12,#595959
hop_01,2,13,#262626
hop_01,3,2,#262626
hop_01,3,3,#FFFFFF
hop_01,3,4,#FFFFFF
hop_01,3,5,#FFFFFF
hop_01,3,6,#FFFFFF
hop_01,3,7,#262626
hop_01,3,8,#262626
hop_01,3,9,#FFFFFF
hop_01,3,10,#FFFFFF
hop_01,3,11,#FFFFFF
hop_01,3,12,#FFFFFF
hop_01,3,13,#262626
hop_01,4,2,#262626
hop_01,4,3,#FFFFFF
hop_01,4,4,#FFFFFF
hop_01,4,5,#FFFFFF
hop_01,4,6,#FFFFFF
hop_01,4,7,#262626
hop_01,4,8,#262626
hop_01,4,9,#FFFFFF
hop_01,4,10,#FFFFFF
hop_01,4,11,#FFFFFF
hop_01,4,12,#FFFFFF
hop_01,4,13,#262626
hop_01,5,2,#262626
hop_01,5,3,#FFFFFF
hop_01,5,4,#262626
hop_01,5,5,#262626
hop_01,5,6,#262626
hop_01,5,7,#FFFFFF
hop_01,5,8,#FFFFFF
hop_01,5,9,#262626
hop_01,5,10,#262626
hop_01,5,11,#262626
hop_01,5,12,#FFFFFF
hop_01,5,13,#262626
hop_01,6,2,#262626
hop_01,6,3,#8C8C8C
hop_01,6,4,#8C8C8C
hop_01,6,5,#4FC3F7
hop_01,6,6,#262626
hop_01,6,7,#FFFFFF
hop_01,6,8,#FFFFFF
hop_01,6,9,#262626
hop_01,6,10,#4FC3F7
hop_01,6,11,#8C8C8C
hop_01,6,12,#8C8C8C
hop_01,6,13,#262626
hop_01,6,14,#262626
hop_01,6,15,#262626
hop_01,7,2,#262626
hop_01,7,3,#8C8C8C
hop_01,7,4,#8C8C8C
hop_01,7,5,#FFFFFF
hop_01,7,6,#FFFFFF
hop_01,7,7,#262626
hop_01,7,8,#262626
hop_01,7,9,#FFFFFF
hop_01,7,10,#FFFFFF
hop_01,7,11,#8C8C8C
hop_01,7,12,#8C8C8C
hop_01,7,13,#262626
hop_01,7,14,#595959
hop_01,7,15,#262626
hop_01,8,2,#262626
hop_01,8,3,#FFFFFF
hop_01,8,4,#FFFFFF
hop_01,8,5,#FFFFFF
hop_01,8,6,#262626
hop_01,8,7,#262626
hop_01,8,8,#262626
hop_01,8,9,#262626
hop_01,8,10,#FFFFFF
hop_01,8,11,#FFFFFF
hop_01,8,12,#FFFFFF
hop_01,8,13,#8C8C8C
hop_01,8,14,#8C8C8C
hop_01,8,15,#262626
hop_01,9,2,#262626
hop_01,9,3,#262626
hop_01,9,4,#8C8C8C
hop_01,9,5,#8C8C8C
hop_01,9,6,#8C8C8C
hop_01,9,7,#8C8C8C
hop_01,9,8,#8C8C8C
hop_01,9,9,#8C8C8C
hop_01,9,10,#8C8C8C
hop_01,9,11,#8C8C8C
hop_01,9,12,#262626
hop_01,9,13,#8C8C8C
hop_01,9,14,#262626
hop_01,9,15,#262626
hop_01,10,2,#262626
hop_01,10,3,#595959
hop_01,10,4,#8C8C8C
hop_01,10,5,#8C8C8C
hop_01,10,6,#FFFFFF
hop_01,10,7,#FFFFFF
hop_01,10,8,#FFFFFF
hop_01,10,9,#FFFFFF
hop_01,10,10,#8C8C8C
hop_01,10,11,#8C8C8C
hop_01,10,12,#595959
hop_01,10,13,#8C8C8C
hop_01,10,14,#262626
hop_01,11,2,#262626
hop_01,11,3,#595959
hop_01,11,4,#8C8C8C
hop_01,11,5,#8C8C8C
hop_01,11,6,#FFFFFF
hop_01,11,7,#FFFFFF
hop_01,11,8,#FFFFFF
hop_01,11,9,#FFFFFF
hop_01,11,10,#8C8C8C
hop_01,11,11,#8C8C8C
hop_01,11,12,#595959
hop_01,11,13,#262626
hop_01,11,14,#262626
hop_01,12,2,#262626
hop_01,12,3,#595959
hop_01,12,4,#8C8C8C
hop_01,12,5,#8C8C8C
hop_01,12,6,#FFFFFF
hop_01,12,7,#FFFFFF
hop_01,12,8,#FFFFFF
hop_01,12,9,#FFFFFF
hop_01,12,10,#8C8C8C
hop_01,12,11,#8C8C8C
hop_01,12,12,#595959
hop_01,12,13,#262626
hop_01,13,2,#262626
hop_01,13,3,#262626
hop_01,13,4,#262626
hop_01,13,5,#595959
hop_01,13,6,#595959
hop_01,13,7,#262626
hop_01,13,8,#262626
hop_01,13,9,#595959
hop_01,13,10,#595959
hop_01,13,11,#262626
hop_01,13,12,#262626
hop_01,13,13,#262626
hop_01,14,4,#262626
hop_01,14,5,#595959
hop_01,14,6,#595959
hop_01,14,7,#262626
hop_01,14,8,#262626
hop_01,14,9,#595959
hop_01,14,10,#595959
hop_01,14,11,#262626
hop_01,15,4,#262626
hop_01,15,5,#262626
hop_01,15,6,#262626
hop_01,15,7,#262626
hop_01,15,8,#262626
hop_01,15,9,#262626
hop_01,15,10,#262626
hop_01,15,11,#262626
